일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/12/29","957.78","-18.81","-1.93","973.94","978.16","949.90","53590.0","1369214.0","1.4609446E8"
"2022/12/28","976.59","-32.73","-3.24","997.41","998.31","973.47","73216.0","1900200.0","1.48893585E8"
"2022/12/27","1009.32","15.04","1.51","1001.02","1011.75","997.91","70624.0","1547988.0","1.54952115E8"
"2022/12/26","994.28","15.22","1.55","981.16","996.23","972.27","50425.0","1301677.0","1.52632741E8"
"2022/12/23","979.06","-38.57","-3.79","995.88","997.97","979.03","58283.0","1567461.0","1.50194567E8"
"2022/12/22","1017.63","22.95","2.31","1004.32","1018.46","1000.09","39049.0","1045401.0","1.55545322E8"
"2022/12/21","994.68","6.36","0.64","997.86","1001.42","987.12","30931.0","867716.0","1.5210602E8"
"2022/12/20","988.32","-21.60","-2.14","1006.07","1008.34","986.24","34424.0","906007.0","1.51040615E8"
"2022/12/19","1009.92","-0.55","-0.05","1009.23","1019.62","1005.67","31565.0","962336.0","1.54272092E8"
"2022/12/16","1010.47","-10.14","-0.99","1000.44","1016.67","999.55","41144.0","1034643.0","1.54235841E8"
"2022/12/15","1020.61","-18.17","-1.75","1029.30","1037.04","1019.05","39174.0","1061555.0","1.55150915E8"
"2022/12/14","1038.78","23.16","2.28","1021.11","1039.91","1021.11","49301.0","1346333.0","1.57962068E8"
"2022/12/13","1015.62","0.12","0.01","1019.80","1022.05","1008.94","44277.0","1257035.0","1.54340997E8"
"2022/12/12","1015.50","-9.91","-0.97","1018.11","1022.16","1013.14","40930.0","1228475.0","1.542639E8"
"2022/12/09","1025.41","10.85","1.07","1024.20","1030.11","1014.74","62485.0","1941525.0","1.55560161E8"
"2022/12/08","1014.56","-4.83","-0.47","1020.41","1024.00","1014.56","61090.0","1316640.0","1.47654356E8"
"2022/12/07","1019.39","-0.12","-0.01","1013.84","1029.90","1009.31","47049.0","1097043.0","1.48468008E8"
"2022/12/06","1019.51","-22.77","-2.18","1028.66","1031.87","1019.51","69289.0","1107573.0","1.48431094E8"
"2022/12/05","1042.28","6.20","0.60","1043.67","1050.94","1036.47","53504.0","1263963.0","1.51620876E8"
"2022/12/02","1036.08","-22.46","-2.12","1054.80","1055.41","1036.08","52153.0","1581476.0","1.50853408E8"
"2022/12/01","1058.54","20.12","1.94","1062.76","1070.90","1056.49","63779.0","1795193.0","1.53957643E8"
"2022/11/30","1038.42","0.67","0.06","1034.84","1039.31","1025.15","82190.0","1800152.0","1.5113189E8"
"2022/11/29","1037.75","18.39","1.80","1014.72","1039.91","1011.41","53890.0","1250141.0","1.50732584E8"
"2022/11/28","1019.36","-26.18","-2.50","1039.40","1039.40","1017.10","47334.0","1281364.0","1.48031358E8"
"2022/11/25","1045.54","-12.13","-1.15","1055.27","1055.62","1045.29","29894.0","973065.0","1.52205626E8"
"2022/11/24","1057.67","17.93","1.72","1044.84","1060.41","1044.35","40015.0","1146311.0","1.53786649E8"
"2022/11/23","1039.74","25.50","2.51","1025.86","1039.85","1025.22","41051.0","1187017.0","1.51108568E8"
"2022/11/22","1014.24","-13.60","-1.32","1024.15","1029.48","1013.73","39972.0","1131933.0","1.4721479E8"
"2022/11/21","1027.84","-23.27","-2.21","1052.34","1054.41","1025.76","43873.0","1224103.0","1.49329967E8"
"2022/11/18","1051.11","-12.12","-1.14","1065.01","1071.49","1049.40","49223.0","1300469.0","1.52619085E8"
"2022/11/17","1063.23","-10.25","-0.95","1067.18","1073.58","1060.32","46342.0","1352908.0","1.54377281E8"
"2022/11/16","1073.48","-6.37","-0.59","1082.19","1083.06","1067.94","61566.0","1814003.0","1.55910008E8"
