일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/12/29","291.10","-5.99","-2.02","294.98","295.94","291.10","114467.0","4641526.0","1.54177357E9"
"2022/12/28","297.09","-7.13","-2.34","299.36","299.36","296.59","137295.0","5455739.0","1.572078454E9"
"2022/12/27","304.22","1.95","0.65","303.77","305.02","302.83","122968.0","4996334.0","1.610156557E9"
"2022/12/26","302.27","0.20","0.07","301.76","302.97","300.66","78881.0","3328680.0","1.600153844E9"
"2022/12/23","302.07","-5.41","-1.76","303.14","304.42","301.47","94835.0","3983861.0","1.597263274E9"
"2022/12/22","307.48","4.25","1.40","304.66","307.48","303.96","233308.0","7502614.0","1.62705428E9"
"2022/12/21","303.23","-0.82","-0.27","305.84","305.99","302.92","76957.0","3424230.0","1.607206142E9"
"2022/12/20","304.05","-2.72","-0.89","305.65","306.58","302.96","88755.0","3751123.0","1.611468594E9"
"2022/12/19","306.77","-0.71","-0.23","306.33","307.99","305.19","77963.0","3389191.0","1.623398278E9"
"2022/12/16","307.48","-0.25","-0.08","303.48","307.48","303.09","114654.0","5111486.0","1.628692871E9"
"2022/12/15","307.73","-5.50","-1.76","310.73","311.98","307.73","95262.0","4219247.0","1.628650201E9"
"2022/12/14","313.23","3.67","1.19","310.87","313.41","310.57","83854.0","4342122.0","1.65757664E9"
"2022/12/13","309.56","-0.08","-0.03","311.26","311.85","308.54","101877.0","4798782.0","1.638600029E9"
"2022/12/12","309.64","-1.99","-0.64","309.38","310.69","308.70","85706.0","4104121.0","1.639164846E9"
"2022/12/09","311.63","3.39","1.10","309.81","312.06","308.76","113451.0","5851981.0","1.651483622E9"
"2022/12/08","308.24","-0.03","-0.01","308.78","309.00","306.01","121095.0","6140431.0","1.63874941E9"
"2022/12/07","308.27","-1.87","-0.60","309.11","310.25","308.08","92852.0","4668364.0","1.646116687E9"
"2022/12/06","310.14","-3.77","-1.20","310.90","313.34","309.70","100041.0","5111290.0","1.653913287E9"
"2022/12/05","313.91","-1.11","-0.35","316.26","317.07","312.92","113971.0","6186909.0","1.671559716E9"
"2022/12/02","315.02","-7.00","-2.17","320.76","320.76","315.02","114750.0","5464066.0","1.682845041E9"
"2022/12/01","322.02","1.02","0.32","325.37","325.49","321.44","130317.0","6281005.0","1.716470501E9"
"2022/11/30","321.00","5.42","1.72","314.35","321.01","314.20","189080.0","9682025.0","1.712514082E9"
"2022/11/29","315.58","3.37","1.08","311.79","315.74","311.07","94417.0","4131770.0","1.684165583E9"
"2022/11/28","312.21","-3.86","-1.22","313.89","313.89","311.28","96035.0","4381041.0","1.666807679E9"
"2022/11/25","316.07","-1.23","-0.39","317.28","318.10","315.76","102915.0","4082696.0","1.687463164E9"
"2022/11/24","317.30","3.19","1.02","316.60","317.33","315.27","99544.0","4872436.0","1.690781538E9"
"2022/11/23","314.11","2.09","0.67","314.84","315.24","312.65","148269.0","5419686.0","1.674560656E9"
"2022/11/22","312.02","-2.65","-0.84","312.88","315.09","311.69","115972.0","4784358.0","1.66690025E9"
"2022/11/21","314.67","-2.45","-0.77","317.22","317.65","312.99","123417.0","5039139.0","1.67796438E9"
"2022/11/18","317.12","0.37","0.12","317.63","320.70","316.70","136519.0","5463792.0","1.695249021E9"
"2022/11/17","316.75","-5.21","-1.62","319.98","320.35","316.75","157359.0","6011382.0","1.69349758E9"
"2022/11/16","321.96","-0.35","-0.11","322.98","322.98","318.02","177086.0","7137388.0","1.718487303E9"
"2022/11/15","322.31","0.78","0.24","322.76","323.03","319.96","144811.0","6544080.0","1.719871806E9"
"2022/11/14","321.53","-1.56","-0.48","323.41","324.73","320.86","267590.0","9296763.0","1.717123599E9"
"2022/11/11","323.09","11.96","3.84","320.47","323.51","319.97","236342.0","1.1022065E7","1.724859783E9"
"2022/11/10","311.13","-4.10","-1.30","312.63","314.91","311.13","149975.0","6946966.0","1.666140306E9"
"2022/11/09","315.23","3.22","1.03","313.40","316.09","312.54","162127.0","6677284.0","1.682723916E9"
"2022/11/08","312.01","4.14","1.34","310.08","312.57","309.21","142952.0","6698895.0","1.66488358E9"
"2022/11/07","307.87","3.54","1.16","306.08","308.15","305.05","148869.0","6158494.0","1.645567171E9"
"2022/11/04","304.33","2.67","0.89","301.16","304.33","299.46","182715.0","6204182.0","1.628876575E9"
"2022/11/03","301.66","-2.21","-0.73","298.55","303.80","297.62","179816.0","6978448.0","1.614223615E9"
"2022/11/02","303.87","-0.01","0.00","302.49","305.10","302.02","192341.0","7319768.0","1.620408588E9"
"2022/11/01","303.88","4.30","1.44","300.53","304.01","299.84","272490.0","7030448.0","1.618957537E9"
"2022/10/31","299.58","4.52","1.53","298.61","300.05","296.45","121050.0","6465630.0","1.589521551E9"
"2022/10/28","295.06","-3.76","-1.26","296.80","298.45","294.65","131078.0","6484977.0","1.5714434E9"
"2022/10/27","298.82","4.97","1.69","295.85","299.19","295.01","176204.0","6808554.0","1.587041667E9"
"2022/10/26","293.85","2.27","0.78","292.21","295.28","291.40","122301.0","5868015.0","1.559579464E9"
"2022/10/25","291.58","0.11","0.04","291.29","293.75","290.53","116351.0","5506859.0","1.547458881E9"
"2022/10/24","291.47","2.90","1.00","293.60","294.24","290.52","116176.0","5372981.0","1.547506547E9"
"2022/10/21","288.57","-0.04","-0.01","287.68","290.38","287.44","102369.0","4677515.0","1.531346564E9"
"2022/10/20","288.61","-2.68","-0.92","289.33","290.07","286.50","136904.0","6043941.0","1.532345342E9"
"2022/10/19","291.29","-2.30","-0.78","293.41","295.34","290.90","110851.0","5688842.0","1.545629556E9"
"2022/10/18","293.59","4.02","1.39","293.34","293.78","289.77","117118.0","5739328.0","1.554496622E9"
"2022/10/17","289.57","0.21","0.07","285.89","290.04","284.91","111597.0","4981197.0","1.534058016E9"
"2022/10/14","289.36","6.79","2.40","287.59","290.32","286.59","132069.0","5109070.0","1.529564595E9"
"2022/10/13","282.57","-4.52","-1.57","286.27","286.36","282.57","133289.0","5498924.0","1.495390688E9"
"2022/10/12","287.09","2.13","0.75","285.23","287.52","284.32","120862.0","5557304.0","1.521195023E9"
"2022/10/11","284.96","-5.45","-1.88","284.39","284.96","282.04","127822.0","6026955.0","1.513307427E9"
"2022/10/07","290.41","-0.85","-0.29","288.35","292.20","287.84","128156.0","6006691.0","1.539001559E9"
"2022/10/06","291.26","2.21","0.76","291.20","293.32","290.09","93858.0","5017652.0","1.542172687E9"
"2022/10/05","289.05","0.78","0.27","293.87","294.47","287.44","138907.0","7289051.0","1.528199265E9"
"2022/10/04","288.27","6.91","2.46","286.25","288.96","285.42","120019.0","6053599.0","1.522328611E9"
"2022/09/30","281.36","-1.29","-0.46","281.75","284.35","278.39","143738.0","6233068.0","1.485351846E9"
"2022/09/29","282.65","-0.54","-0.19","286.60","287.81","282.56","128427.0","5584454.0","1.496674215E9"
"2022/09/28","283.19","-7.01","-2.42","287.66","289.75","280.80","160839.0","6903850.0","1.495225781E9"
"2022/09/27","290.20","0.43","0.15","290.27","290.75","286.76","152310.0","6310896.0","1.532256479E9"
"2022/09/26","289.77","-7.97","-2.68","293.65","293.96","289.01","177692.0","7088012.0","1.53009235E9"
"2022/09/23","297.74","-3.91","-1.30","301.48","302.09","296.85","114627.0","5178007.0","1.574446619E9"
"2022/09/22","301.65","-3.02","-0.99","300.67","302.19","299.30","114962.0","5170583.0","1.60274104E9"
"2022/09/21","304.67","-2.87","-0.93","305.09","306.07","303.77","104487.0","4651751.0","1.613975051E9"
"2022/09/20","307.54","1.05","0.34","308.76","309.98","306.79","96957.0","5034910.0","1.628879146E9"
"2022/09/19","306.49","-2.20","-0.71","309.58","309.89","305.68","101186.0","4835821.0","1.621194436E9"
"2022/09/16","308.69","-1.94","-0.62","308.58","309.54","307.03","135937.0","6618318.0","1.638856815E9"
"2022/09/15","310.63","-2.11","-0.67","313.15","313.84","310.63","111218.0","5471890.0","1.651182757E9"
"2022/09/14","312.74","-5.82","-1.83","310.08","313.94","309.06","118207.0","5655234.0","1.658854758E9"
"2022/09/13","318.56","9.44","3.05","313.93","319.37","313.93","150586.0","7313864.0","1.686469809E9"
"2022/09/08","309.12","0.96","0.31","310.23","310.51","308.26","149121.0","6672566.0","1.63974363E9"
"2022/09/07","308.16","-4.85","-1.55","310.86","311.10","306.69","146287.0","5829753.0","1.633993735E9"
