일자,총수익지수_종가,총수익지수_대비,순가격지수_종가,순가격지수_대비,제로재투자지수_종가,제로재투자지수_대비,콜재투자지수_종가,콜재투자지수_대비,시장가격지수_종가,시장가격지수_대비,듀레이션,컨벡시티,YTM
"2022/12/31","175.94","0.02","96.46","0.00","172.06","0.02","176.04","0.02","98.24","0.00","5.150","76.966","4.220"
"2022/12/30","175.92","0.02","96.46","0.00","172.04","0.01","176.02","0.02","98.24","0.01","5.146","76.897","4.220"
"2022/12/29","175.90","-0.40","96.46","-0.22","172.03","-0.32","176.00","-0.32","98.23","-0.22","5.145","76.838","4.220"
"2022/12/28","176.30","-0.40","96.68","-0.24","172.35","-0.34","176.32","-0.34","98.45","-0.23","5.173","77.588","4.192"
"2022/12/27","176.70","0.36","96.92","0.20","172.69","0.30","176.66","0.30","98.68","0.19","5.210","78.543","4.175"
"2022/12/26","176.34","-0.36","96.72","-0.21","172.39","-0.29","176.36","-0.29","98.49","-0.20","5.189","77.926","4.207"
"2022/12/25","176.70","0.02","96.93","0.01","172.68","0.01","176.65","0.02","98.69","0.01","5.206","78.319","4.178"
"2022/12/24","176.68","0.02","96.92","0.00","172.67","0.02","176.63","0.02","98.68","0.01","5.208","78.333","4.179"
"2022/12/23","176.66","-0.43","96.92","-0.25","172.65","-0.35","176.61","-0.36","98.67","-0.24","5.210","78.357","4.178"
"2022/12/22","177.09","0.52","97.17","0.28","173.00","0.42","176.97","0.44","98.91","0.28","5.239","79.051","4.140"
"2022/12/21","176.57","0.31","96.89","0.17","172.58","0.26","176.53","0.26","98.63","0.17","5.220","78.584","4.195"
"2022/12/20","176.26","-1.42","96.72","-0.80","172.32","-1.18","176.27","-1.19","98.46","-0.80","5.217","78.560","4.239"
"2022/12/19","177.68","-0.26","97.52","-0.15","173.50","-0.21","177.46","-0.22","99.26","-0.15","5.306","80.955","4.121"
"2022/12/18","177.94","0.02","97.67","0.00","173.71","0.01","177.68","0.02","99.41","0.01","5.332","81.660","4.111"
"2022/12/17","177.92","0.02","97.67","0.00","173.70","0.02","177.66","0.02","99.40","0.01","5.333","81.663","4.111"
"2022/12/16","177.90","0.20","97.67","0.11","173.68","0.17","177.64","0.17","99.39","0.11","5.332","81.636","4.110"
"2022/12/15","177.70","0.26","97.56","0.14","173.51","0.21","177.47","0.22","99.28","0.14","5.319","81.239","4.121"
"2022/12/14","177.44","0.61","97.42","0.33","173.30","0.51","177.25","0.52","99.14","0.34","5.307","80.906","4.141"
"2022/12/13","176.83","-0.02","97.09","-0.01","172.79","-0.02","176.73","-0.01","98.80","-0.01","5.289","80.401","4.212"
